Valency,Subclass,Cell,Exp 1,Exp 2,Exp 3,Exp 4,Exp 5,Exp 6,Exp 7,Exp 8,Exp 9
4,IgG1,ncMO,1335,4236,1253,1371,5511,7386,6602,9494,656
4,IgG2,ncMO,-9,105,1068,-1160,476,-416,58,-31,434
4,IgG3,ncMO,3118,7252,729,2002,16546,3729,12533,10514,165
4,IgG4,ncMO,-272,308,665,-1523,251,-475,1676,2551,9
33,IgG1,ncMO,7341,15369,1541,3266,9885,9901,19203,9097,3432
33,IgG2,ncMO,-333,2420,1520,200,537,488,2587,2418,2051
33,IgG3,ncMO,9316,21006,5232,13916,14365,19035,37261,14888,4884
33,IgG4,ncMO,687,5823,1621,1255,1945,1174,3890,10577,2947
4,IgG1,cMO,2876,4408,680,-965,2912,35,2900,6626,3991
4,IgG2,cMO,-883,-627,1039,-2261,1808,-2273,22,36,50
4,IgG3,cMO,5560,9978,202,-415,5385,-1326,6040,7750,2627
4,IgG4,cMO,-1170,-78,198,-2964,424,-2075,971,123,-78
33,IgG1,cMO,10125,18503,2530,3723,19706,9314,14242,11816,16054
33,IgG2,cMO,-707,2362,2836,387,876,1184,4884,5677,6318
33,IgG3,cMO,11461,22336,6460,15698,12225,20034,21737,20978,20330
33,IgG4,cMO,214,4031,1707,1949,2423,833,4794,12341,12686
4,IgG1,Neu,31934,21887,6073,18971,12743,23892,11259,32320,38409
4,IgG2,Neu,-83,-102,487,-234,167,489,32,22,62
4,IgG3,Neu,33840,25651,4716,13613,31717,11087,22951,42840,27957
4,IgG4,Neu,-321,62,36,-350,76,-8,1152,101,-63
33,IgG1,Neu,31707,19960,2944,17619,21427,34325,28789,22832,35470
33,IgG2,Neu,218,1750,1044,400,710,847,1461,2885,1896
33,IgG3,Neu,37270,17915,14314,40001,19257,45182,63686,28738,47065
33,IgG4,Neu,2180,7235,1454,2723,4698,3487,2032,7956,4568
