Valency,Cell,subclass_1,%_1,subclass_2,%_2,5/15/20,5/20/20,5/28/20,6/2/20,6/23/20,6/30/20,7/14/20,7/23/20,9/2/20,9/11/20,10/23/20,11/25/20,12/11/20,12/16/20,2/3/21,2/12/21,2/19/21
4,CHO-FcgRIA,IgG2,10,IgG4,90,,,,,,,,,,,2872,,854,1002,,,
4,CHO-FcgRIA,IgG2,0,IgG4,100,,,,,,,,,,,2642,,990,919,,,
4,CHO-FcgRIA,IgG3,100,IgG4,0,,,,,,,,,,,3048,,1299,2026,,,
4,CHO-FcgRIA,IgG3,90,IgG4,10,,,,,,,,,,,2952,,1816,1432,,,
4,CHO-FcgRIA,IgG3,66,IgG4,33,,,,,,,,,,,3895,,1058,1687,,,
4,CHO-FcgRIA,IgG3,33,IgG4,66,,,,,,,,,,,2586,,1172,1495,,,
4,CHO-FcgRIA,IgG3,10,IgG4,90,,,,,,,,,,,3375,,999,1218,,,
4,CHO-FcgRIA,IgG3,0,IgG4,100,,,,,,,,,,,3141,,930,860,,,
33,CHO-FcgRIA,IgG1,100,IgG2,0,,,,,,,,,,,,,,,479,1287,1759
33,CHO-FcgRIA,IgG1,90,IgG2,10,,,,,,,,,,,,,,,450,1350,1725
33,CHO-FcgRIA,IgG1,66,IgG2,33,,,,,,,,,,,,,,,136,273,973
33,CHO-FcgRIA,IgG1,33,IgG2,66,,,,,,,,,,,,,,,249,558,728
33,CHO-FcgRIA,IgG1,10,IgG2,90,,,,,,,,,,,,,,,55,482,610
33,CHO-FcgRIA,IgG1,0,IgG2,100,,,,,,,,,,,,,,,68,536,222
33,CHO-FcgRIA,IgG1,100,IgG3,0,,,,,,,,,,,,,,,521,1181,188
33,CHO-FcgRIA,IgG1,90,IgG3,10,,,,,,,,,,,,,,,254,1397,1470
33,CHO-FcgRIA,IgG1,66,IgG3,33,,,,,,,,,,,,,,,397,1249,-11
33,CHO-FcgRIA,IgG1,33,IgG3,66,,,,,,,,,,,,,,,448,1496,-30
