FcgR,IgG1,IgG1SA,IgG2a,IgG2b,IgG2bSA,IgG3,IgG2bFucose
FcgRI,0,0,1.80E+08,1.00E+05,1.00E+05,0.00E+00,1.00E+05
FcgRIIB,3.30E+06,3.90E+05,4.20E+05,2.20E+06,2.60E+05,0,1.00E+07
FcgRIII,3.10E+05,7.00E+04,6.80E+05,6.40E+05,5.00E+04,0,1.10E+06
FcgRIV,0,0,2.90E+07,1.70E+07,3.30E+06,0,2.00E+08
C1q,0,0,1.60E+09,3.80E+09,3.80E+09,0.00E+00,3.80E+09
# Paul's Fundamental Immunology 8ed, Chap 33,,,,,,
# Sourced from Guilliams, Nat Rev Immunology,,2014,,,,
# IgG3 affinity from Gavin et al, J Immunology,,1998,(removed),,,
# Also Nimmerjahn and Ravetch, Science,,2005,(removed),,,
# SA affinities to FcR2b/3/4 comes from Kaneko, Nimmerjahn, Ravetch, Science 2006, other copied from their non-SA equivalence
# TODO: Could not find IgG3-C1q, except that it binds,, so has dummy value,,,,
