variable,IgG1,IgG2,IgG3,IgG4
FcgRI,4.530623221475612e7,20.08553691897939,1.935267349772528e8,9.290608692364158e7
FcgRIIA-131H,1.31004594973417e6,172936.90764525332,859626.5010729606,180044.88347347258
FcgRIIA-131R,645530.8893617772,354134.5693939757,1.2907862802166054e6,643647.0914716745
FcgRIIB-232I,219783.53772797648,68485.77011036196,190575.0438421531,78000.09206674383
FcgRIIIA-158F,1.6346379680951047e6,113976.37749954448,3.3856202239690176e6,277130.9760862343
FcgRIIIA-158V,3.1619778837184794e6,517755.46433191764,2.4281980629064287e6,987211.4684738872
