,IgG1,IgG1-v1,IgG1-v2,IgG1-v3
FcyRIa,3.40E-10,7.30E-09,4.60E-10,1.90E-10
FcyRIIa R,1.20E-06,1.20E-05,2.90E-06,2.30E-09
FcyRIIa H,7.70E-07,5.60E-05,1.20E-05,1.50E-06
FcyRIIb,5.30E-06,1.10E-06,2.30E-06,1.30E-08
FcyRIIIa,3.10E-06,5.10E-05,2.30E-05,8.80E-06
# From WO2012115241A1
