FcgR,IgG1,IgG2,IgG3,IgG4
FcgRI,9.10E+08,0.00E+00,6.10E+07,3.40E+07
FcgRIIA-131H,5.20E+05,4.50E+05,8.90E+05,1.70E+05
FcgRIIA-131R,3.00E+06,1.00E+05,9.10E+05,2.10E+05
FcgRIIB-232I,1.90E+05,2.00E+04,1.70E+05,2.00E+05
FcgRIIB-232T,1.90E+05,2.00E+04,1.70E+05,2.00E+05
FcgRIIC-13N,1.00E+05,2.00E+04,2.00E+05,2.00E+05
FcgRIIIA-158V,3.00E+06,7.00E+04,9.80E+06,2.50E+05
FcgRIIIA-158F,6.60E+05,3.00E+04,7.70E+06,2.00E+05
FcgRIIIB,2.00E+05,0,1.00E+06,0
TRIM21,5.00E+06,5.00E+06,2.00E+06,5.00E+06
C1q,1.20E+07,5.20E+06,1.10E+07,4.50E+06
# Mostly from Paul's Fundamental Immunology 8ed, Chap 33,,,
# Sourced from Guilliams, Nat Rev Immunology,2014,,
# Patel et al, Analytical Biochem,2015,,
# IgG2-FcgRI was reported as 0 but has been modified,,,,
