Condition,Target
IgG1,4.7
IgG1,15.2
IgG1,0.9
IgG1,0.9
IgG1,67.6
IgG1,20.9
IgG1,4.4
IgG1,5.7
IgG1,55
IgG1,7.7
IgG1,27.8
IgG1,8.1
IgG1,1.3
IgG1,3.9
IgG1,1.4
IgG1,4.2
IgG1,0.3
IgG2,7.6
IgG2,9.7
IgG2,1.2
IgG2,14.3
IgG2,1.8
IgG2,18.7
IgG2,10.1
IgG2,1.8
IgG2,8.9
IgG2,16.7
IgG2,12.4
IgG2,2.3
IgG2,4.7
IgG2,3.8
IgG2,3.5
IgG2,3.3
IgG2,1.6
IgG2,5.4
IgG2,5
IgG2,9
IgG3,5.8
IgG3,7.9
IgG3,20.3
IgG3,12.9
IgG3,3
IgG3,2.4
IgG3,20.3
IgG3,10.3
IgG3,9.7
IgG3,1.2
IgG3,70.6
IgG4,14.1
IgG4,33.2
IgG4,45.8
IgG4,86
IgG4,30.6
IgG4,15.1
IgG4,3.6
IgG4,8.4
IgG4,59.7
IgG4,21.8
IgG4,25.8
