Valency,Cell,subclass_1,%_1,subclass_2,%_2,5/15/20,5/20/20,5/28/20,6/2/20,6/23/20,6/30/20,7/14/20,7/23/20,9/2/20,9/11/20
33,hFcgRIIA-131His,IgG1,100,IgG4,0,4369,22136,149,2443,,,,,738,
33,hFcgRIIA-131His,IgG1,90,IgG4,10,3962,23739,102,2400,,,,,1175,
33,hFcgRIIA-131His,IgG1,66,IgG4,33,3773,19378,174,1961,,,,,1426,
33,hFcgRIIA-131His,IgG1,33,IgG4,66,1868,17261,45,4471,,,,,163,
33,hFcgRIIA-131His,IgG1,10,IgG4,90,1615,20380,22,529,,,,,-75,
33,hFcgRIIA-131His,IgG1,0,IgG4,100,100,27091,-42,1346,,,,,-434,
33,hFcgRIIA-131His,IgG2,100,IgG3,0,,,,,715,230,1149,337,,3069
33,hFcgRIIA-131His,IgG2,90,IgG3,10,,,,,1826,570,3302,2753,,3801
33,hFcgRIIA-131His,IgG2,66,IgG3,33,,,,,2438,879,4749,3801,,6550
33,hFcgRIIA-131His,IgG2,33,IgG3,66,,,,,2985,3009,4726,3923,,7469
33,hFcgRIIA-131His,IgG2,10,IgG3,90,,,,,3231,1779,5232,3781,,10078
33,hFcgRIIA-131His,IgG2,0,IgG3,100,,,,,4638,-14,6272,3777,,12042
33,hFcgRIIA-131His,IgG2,100,IgG4,0,,,,,1071,321,2325,277,,4622
33,hFcgRIIA-131His,IgG2,90,IgG4,10,,,,,488,662,2019,489,,4743
33,hFcgRIIA-131His,IgG2,66,IgG4,33,,,,,833,414,2413,497,,5250
33,hFcgRIIA-131His,IgG2,33,IgG4,66,,,,,1537,324,2629,306,,11366
33,hFcgRIIA-131His,IgG2,10,IgG4,90,,,,,692,588,1962,630,,5695
33,hFcgRIIA-131His,IgG2,0,IgG4,100,,,,,2586,661,2411,1088,,11649
33,hFcgRIIA-131His,IgG3,100,IgG4,0,,,,,2770,1978,4655,4596,,10760
33,hFcgRIIA-131His,IgG3,90,IgG4,10,,,,,6148,2290,5895,5162,,10213
33,hFcgRIIA-131His,IgG3,66,IgG4,33,,,,,3986,1659,5614,4775,,9064
33,hFcgRIIA-131His,IgG3,33,IgG4,66,,,,,2963,1865,5997,498,,7861
33,hFcgRIIA-131His,IgG3,10,IgG4,90,,,,,2168,1138,4099,3628,,10264
33,hFcgRIIA-131His,IgG3,0,IgG4,100,,,,,557,773,3344,695,,10017
,,,,,,,,,,,,,,,
4,hFcgRIIB,IgG1,100,IgG2,0,203,1623,-14,115,,,,,657,
4,hFcgRIIB,IgG1,90,IgG2,10,188,1095,10,110,,,,,354,
4,hFcgRIIB,IgG1,66,IgG2,33,143,641,-24,86,,,,,137,
4,hFcgRIIB,IgG1,33,IgG2,66,58,313,-37,100,,,,,60,
4,hFcgRIIB,IgG1,10,IgG2,90,50,2,-37,44,,,,,165,
4,hFcgRIIB,IgG1,0,IgG2,100,233,114,-29,37,,,,,-89,
4,hFcgRIIB,IgG1,100,IgG3,0,221,1309,-14,206,,,,,447,
4,hFcgRIIB,IgG1,90,IgG3,10,226,1827,-9,143,,,,,564,
4,hFcgRIIB,IgG1,66,IgG3,33,208,1825,0,150,,,,,421,
4,hFcgRIIB,IgG1,33,IgG3,66,161,2661,7,39,,,,,359,
4,hFcgRIIB,IgG1,10,IgG3,90,169,3863,13,159,,,,,511,
4,hFcgRIIB,IgG1,0,IgG3,100,1032,1438,17,142,,,,,547,
4,hFcgRIIB,IgG1,100,IgG4,0,212,1415,-15,139,,,,,443,
4,hFcgRIIB,IgG1,90,IgG4,10,208,1073,-20,144,,,,,797,
4,hFcgRIIB,IgG1,66,IgG4,33,199,921,-30,98,,,,,1090,
4,hFcgRIIB,IgG1,33,IgG4,66,102,693,-26,173,,,,,862,
4,hFcgRIIB,IgG1,10,IgG4,90,137,502,-29,63,,,,,599,
4,hFcgRIIB,IgG1,0,IgG4,100,425,-1341,-17,53,,,,,531,
4,hFcgRIIB,IgG2,100,IgG3,0,,,,,29,178,359,54,,6
4,hFcgRIIB,IgG2,90,IgG3,10,,,,,45,9,129,22,,135
4,hFcgRIIB,IgG2,66,IgG3,33,,,,,18,70,147,94,,328
4,hFcgRIIB,IgG2,33,IgG3,66,,,,,31,46,152,119,,581
4,hFcgRIIB,IgG2,10,IgG3,90,,,,,124,72,222,133,,357
4,hFcgRIIB,IgG2,0,IgG3,100,,,,,85,-36,282,186,,616
