FcgR,IgG1,IgG2,IgG3,IgG4
FcgRI,6.50E+07,0.00E+00,6.10E+07,3.40E+07
FcgRIIA-131H,5.20E+06,4.50E+05,8.90E+05,1.70E+05
FcgRIIA-131R,3.50E+06,1.00E+05,9.10E+05,2.10E+05
FcgRIIB-232I,1.20E+05,2.00E+04,1.70E+05,2.00E+05
FcgRIIIA-158V,2.00E+06,7.00E+04,9.80E+06,2.50E+05
FcgRIIIA-158F,1.17E+06,3.00E+04,7.70E+06,2.00E+05
FcgRIIIB,2.00E+05,0.00E+00,1.11E+06,0.00E+00
# Everything comes from Bruhns, Blood, 2009,,
