IgG,FcgRI,FcgRIIA-131H,FcgRIIA-131R,FcgRIIB-232I,FcgRIIIA-158F,FcgRIIIA-158V,FcgRIIIB-NA1,FcgRIIIB-NA2
IgG1,650|280,52|12,35|5,1.2|0.1,11.7|1.9,20|2,2.0|0.3,2.2|0.3
IgG2,0|0,4.5|1,1|0.1,0.2|0.0,0.3|0.0,0.7|0.1,0|0,0|0
IgG3,610|320,8.9|0.1,9.1|1.3,1.7|0.2,77|11,98|15,11.1|2.7,9.1|3.1
IgG4,340|190,1.7|0.4,2.1|0.2,2.0|0.4,2.0|0.5,2.5|0.2,0|0,0|0
# Bruhns,Blood,2009,Figure 3,,,,,
