Valency,Cell,subclass_1,%_1,subclass_2,%_2,5/15/17,5/20/17,5/28/17,6/2/17
4,CHO-FcgRIA,IgG1,100,IgG2,0,441,427,784,172
4,CHO-FcgRIA,IgG2,100,IgG1,0,440,578,997,176
4,CHO-FcgRIA,IgG3,100,IgG1,0,442,407,905,185
4,CHO-FcgRIA,IgG4,100,IgG1,0,388,428,618,139
26,CHO-FcgRIA,IgG1,100,IgG2,0,318,552,900,248
26,CHO-FcgRIA,IgG2,100,IgG1,0,404,392,894,124
26,CHO-FcgRIA,IgG3,100,IgG1,0,322,515,957,242
26,CHO-FcgRIA,IgG4,100,IgG1,0,530,431,810,172
4,CHO-hFcgRIIA-131His,IgG1,100,IgG2,0,327,308,539,113
4,CHO-hFcgRIIA-131His,IgG2,100,IgG1,0,277,203,174,36
4,CHO-hFcgRIIA-131His,IgG3,100,IgG1,0,307,334,305,135
4,CHO-hFcgRIIA-131His,IgG4,100,IgG1,0,148,54,6,20
26,CHO-hFcgRIIA-131His,IgG1,100,IgG2,0,660,585,1298,377
26,CHO-hFcgRIIA-131His,IgG2,100,IgG1,0,533,394,742,156
26,CHO-hFcgRIIA-131His,IgG3,100,IgG1,0,421,674,1173,405
26,CHO-hFcgRIIA-131His,IgG4,100,IgG1,0,630,517,1005,145
4,CHO-hFcgRIIA-131Arg,IgG1,100,IgG2,0,130,177,274,58
4,CHO-hFcgRIIA-131Arg,IgG2,100,IgG1,0,50,23,57,13
4,CHO-hFcgRIIA-131Arg,IgG3,100,IgG1,0,184,193,408,87
4,CHO-hFcgRIIA-131Arg,IgG4,100,IgG1,0,44,21,29,17
26,CHO-hFcgRIIA-131Arg,IgG1,100,IgG2,0,266,604,1016,281
26,CHO-hFcgRIIA-131Arg,IgG2,100,IgG1,0,149,139,381,48
26,CHO-hFcgRIIA-131Arg,IgG3,100,IgG1,0,523,621,1297,281
26,CHO-hFcgRIIA-131Arg,IgG4,100,IgG1,0,265,151,343,72
4,CHO-hFcgRIIB,IgG1,100,IgG2,0,80,200,262,30
4,CHO-hFcgRIIB,IgG2,100,IgG1,0,17,27,40,8
4,CHO-hFcgRIIB,IgG3,100,IgG1,0,124,231,349,62
4,CHO-hFcgRIIB,IgG4,100,IgG1,0,33,44,100,21
26,CHO-hFcgRIIB,IgG1,100,IgG2,0,139,737,1108,230
26,CHO-hFcgRIIB,IgG2,100,IgG1,0,63,111,260,32
26,CHO-hFcgRIIB,IgG3,100,IgG1,0,442,942,746,244
26,CHO-hFcgRIIB,IgG4,100,IgG1,0,183,331,605,68
4,CHO-hFcgRIIIA-131Val,IgG1,100,IgG2,0,295,596,1016,334
4,CHO-hFcgRIIIA-131Val,IgG2,100,IgG1,0,105,186,293,65
4,CHO-hFcgRIIIA-131Val,IgG3,100,IgG1,0,0,623,1055,365
4,CHO-hFcgRIIIA-131Val,IgG4,100,IgG1,0,122,136,262,91
26,CHO-hFcgRIIIA-131Val,IgG1,100,IgG2,0,488,813,1330,383
26,CHO-hFcgRIIIA-131Val,IgG2,100,IgG1,0,177,362,573,114
26,CHO-hFcgRIIIA-131Val,IgG3,100,IgG1,0,924,1317,1861,676
26,CHO-hFcgRIIIA-131Val,IgG4,100,IgG1,0,313,558,1026,239
4,CHO-hFcgRIIIA-158Phe,IgG1,100,IgG2,0,262,676,1015,269
4,CHO-hFcgRIIIA-158Phe,IgG2,100,IgG1,0,14,31,31,14
4,CHO-hFcgRIIIA-158Phe,IgG3,100,IgG1,0,328,528,790,267
4,CHO-hFcgRIIIA-158Phe,IgG4,100,IgG1,0,9,8,16,10
26,CHO-hFcgRIIIA-158Phe,IgG1,100,IgG2,0,709,1333,1935,698
26,CHO-hFcgRIIIA-158Phe,IgG2,100,IgG1,0,23,26,68,19
26,CHO-hFcgRIIIA-158Phe,IgG3,100,IgG1,0,788,1668,2628,891
26,CHO-hFcgRIIIA-158Phe,IgG4,100,IgG1,0,17,21,46,20
